name,category,order,church,start,end,years,is_open
"Abel, Timothy David",retired,Elder,WI Conf - Janesville,1980,1981,1,0
"Abel, Timothy David",retired,Elder,NIL Conf - La Grange 1st,1981,1984,3,0
"Abel, Timothy David",retired,Elder,TX Conf - Kingwood,1984,1989,5,0
"Abel, Timothy David",retired,Elder,Austin: First UMC,1989,1990,1,0
"Abel, Timothy David",retired,Elder,Industry,2005,2009,4,0
"Abel, Timothy David",retired,Elder,Leander UMC,2009,2014,5,0
"Abel, Timothy David",retired,Elder,Driftwood UMC,2020,2020,0,0
"Abold, Susan Irene",retired,Elder,Weslaco: First UMC,1997,1999,2,0
"Abold, Susan Irene",retired,Elder,Lometa/Bend,1999,2002,3,0
"Abold, Susan Irene",retired,Elder,Staples / Kingsbury,2002,2004,2,0
"Abold, Susan Irene",retired,Elder,Telferner / Fannin,2006,2009,3,0
"Adam, Laura Smith",retired,Elder,Utopia UMC,1989,1994,5,0
"Adam, Laura Smith",retired,Elder,Edinburg: First UMC,1994,1999,5,0
"Adam, Laura Smith",retired,Elder,Santa Rosa,2000,2001,1,0
"Adam, Laura Smith",retired,Elder,Port Lavaca: First,2001,2003,2,0
"Adam, Laura Smith",retired,Elder,Brownsville: First,2003,2009,6,0
"Adam, Laura Smith",retired,Elder,Manchaca UMC,2009,2016,7,0
"Adams, Jason Elliot",active_church,Elder,SAng: Trinity / Day Memorial,1997,1999,2,0
"Adams, Jason Elliot",active_church,Elder,SAnt: University UMC,1999,2003,4,0
"Adams, Jason Elliot",active_church,Elder,San Benito: First UMC,2003,2008,5,0
"Adams, Jason Elliot",active_church,Elder,CC: Asbury,2008,2012,4,0
"Adams, Jason Elliot",active_church,Elder,New Braunfels: First UMC,2012,2022,10,0
"Adams, Jason Elliot",active_church,Elder,SAnt: Alamo Heights,2022,2025,3,1
"Adams, Mark Glen",retired,Elder,TX Conf - Montgomery,1986,1990,4,0
"Adams, Mark Glen",retired,Elder,TX Conf - Brookshire,1990,1992,2,0
"Adams, Mark Glen",retired,Elder,CC: St. John's,1993,1995,2,0
"Adams, Mark Glen",retired,Elder,Refugio UMC,1995,1999,4,0
"Adams, Mark Glen",retired,Elder,Edinburg: First UMC,1999,2004,5,0
"Adams, Mark Glen",retired,Elder,Schulenburg UMC,2004,2011,7,0
"Adams, Mark Glen",retired,Elder,Schulenburg / Weimar,2011,2012,1,0
"Adams, Mark Glen",retired,Elder,Schulenburg,2012,2015,3,0
"Aguilar, Peter Michael",retired,Elder,SAnt: Jefferson UMC,1984,1986,2,0
"Aguilar, Peter Michael",retired,Elder,SAnt: Palm Heights,1986,1991,5,0
"Aguilar, Peter Michael",retired,Elder,Helotes Hills UMC,1991,2000,9,0
"Aguilar, Peter Michael",retired,Elder,Alice: First UMC,2000,2002,2,0
"Aguilar, Peter Michael",retired,Elder,V: John Wesley UMC,2002,2005,3,0
"Aguilar, Peter Michael",retired,Elder,Laredo: First UMC,2005,2013,8,0
"Aguilar, Peter Michael",retired,Elder,Floresville UMC,2013,2018,5,0
"Aguilar, Peter Michael",retired,Elder,Mason: First UMC,2018,2024,6,0
"Aguilar, Peter Michael",retired,Elder,Lakehills UMC,2024,2024,0,0
"Ahrens, Joan G.",retired,Local pastor,"(PT), SAnt: University UMC",1990,1999,9,0
"Ahrens, Joan G.",retired,Local pastor,"(PT), SAnt: New Creation",1999,2004,5,0
"Ahrens, Joan G.",retired,Local pastor,SAnt: Windcrest UMC,2004,2013,9,0
"Ahrens, Joan G.",retired,Local pastor,SAnt: Windcrest UMC,2014,2014,0,0
"Albert, Miguel A",retired,Elder,Puerto Rico,1984,1987,3,0
"Albert, Miguel A",retired,Elder,Wisconsin,1987,1988,1,0
"Albert, Miguel A",retired,Elder,Puerto Rico,1988,1993,5,0
"Albert, Miguel A",retired,Elder,El Buen Samaritano,1993,1994,1,0
"Albert, Miguel A",retired,Elder,Del Rio: El Principe de Paz,1994,1995,1,0
"Albert, Miguel A",retired,Elder,Evangel San Juan,1995,1996,1,0
"Albert, Miguel A",retired,Elder,San Antonio: El Mesias / El Buen Samaritano,1996,1998,2,0
"Albert, Miguel A",retired,Elder,Austin: Emmanuel,1998,2000,2,0
"Albert, Miguel A",retired,Elder,SAnt: La Trinidad,2006,2008,2,0
"Alcala, Fidel Chavez",retired,Other,La Mesa Brownfield,1962,1965,3,0
"Alcala, Fidel Chavez",retired,Other,NWTX Conf - Big Springs,1965,1966,1,0
"Alcala, Fidel Chavez",retired,Other,Hereford,1966,1970,4,0
"Alcala, Fidel Chavez",retired,Other,Rio Grande Conference,1970,1974,4,0
"Alcala, Fidel Chavez",retired,Other,Brady Brownwood,1974,1978,4,0
"Alcala, Fidel Chavez",retired,Other,Rio Grande Conference,1978,1982,4,0
"Alcala, Fidel Chavez",retired,Other,West Ohio,1982,1986,4,0
"Alcala, Fidel Chavez",retired,Other,Kansas West,1986,1995,9,0
"Alcala, Fidel Chavez",retired,Other,Fort Worth: La Trinidad,1995,1997,2,0
