new_district	county	city	church	old_district	our_match	gcfa	our_status	score
North	McCulloch	Brady	Grace-New Church Start	West	*** NO MATCH ***			0.20
North	Mason	Hilda	Hilda UMC	West	Hilda	762542	active	1.00
North	Mason	Mason	First UMC	West	Mason	762644	active	0.50
North	San Saba	Cherokee	Cherokee UMC	West	Cherokee	760703	active	1.00
North	Lampasas	Kempner	Kempner UMC	Capital	Kempner	761013	active	1.00
North	Lampasas	Lometa	Lometa UMC	Capital	Lometa	761126	active	1.00
North	Lampasas	Lometa	Bend UMC	Capital	Bend	760678	active	0.50
North	Burnet	Bertram	Bertram UMC	Capital	Bertram	760543	active	1.00
North	Travis	Austin	Austin New Church UMC	Capital	Austin New Church	730295	active	1.00
North	Travis	Austin	Berkeley UMC	Capital	Berkeley	757352	active	1.00
North	Travis	Austin	Bethany UMC	Capital	Bethany Austin	758573	active	1.00
North	Travis	Austin	Covenant UMC	Capital	Covenant Austin	758130	active	1.00
North	Travis	Austin	Decker UMC	Capital	Decker	758482	active	1.00
North	Travis	Austin	Emmanuel UMC	Capital	Austin: Emmanuel	755125	active	1.00
North	Travis	Austin	First UMC	Capital	First Austin	758185	active	1.00
North	Travis	Austin	Lake Travis UMC	Capital	Lake Travis	758538	active	1.00
North	Travis	Austin	Life in the City UMC	Capital	Life in the City	756860	active	1.00
North	Travis	Austin	Memorial UMC	Capital	Memorial Austin	758128	active	1.00
North	Travis	Austin	Northwest Hills UMC	Capital	Northwest Hills	758083	active	1.00
North	Travis	Austin	Oak Hill UMC	Capital	Oak Hill	758117	active	1.00
North	Travis	Austin	Simpson UMC	Capital	Simpson Austin	985025	active	1.00
North	Travis	Austin	St. John UMC	Capital	St Johns Austin	758243	active	0.50
North	Travis	Austin	St. Mark UMC	Capital	St Mark Austin	758276	active	1.00
North	Travis	Austin	St. Paul’s UMC	Capital	Saint Paul Austin	758460	active	hand
North	Travis	Austin	St. Peter’s UMC	Capital	St Peters Austin	985014	active	1.00
North	Travis	Austin	Tarrytown UMC	Capital	Tarrytown	758323	active	1.00
North	Travis	Austin	Trinity UMC	Capital	Trinity Austin	758345	active	1.00
North	Travis	Austin	University UMC	Capital	University Austin	758367	active	1.00
North	Travis	Austin	Violet Crown City Church	Capital	Violet Crown City Church	758141	active	1.00
North	Travis	Austin	Wesley UMC	Capital	Wesley Austin	985036	active	1.00
North	Travis	Austin	Westlake UMC	Capital	Westlake	760782	active	1.00
North	Travis	Spicewood	Bee Creek UMC	Capital	Bee Creek	758356	active	1.00
North	Travis	Manchaca	Manchaca UMC	Capital	Manchaca	758802	active	1.00
North	Travis	Pﬂugerville	Pflugerville UMC	Capital	Pflugerville	758414	active	1.00
North	Travis	Lago Vista	Rolling Hills Community	Capital	Rolling Hills Community	758711	active	1.00
North	Travis	Manor	Manor UMC	Crossroads	Manor	758846	active	1.00
North	Williamson	Cedar Park	First UMC	Capital	Cedar Park: First	758152	active	1.00
North	Williamson	Del Valle	Haynie Chapel	Crossroads	Haynie Chapel	758664	active	1.00
North	Williamson	Liberty Hill	Cross Track Church UMC	Capital	Cross Track Church	761081	active	1.00
North	Williamson	Leander	Leander UMC	Capital	Leander	761068	active	1.00
North	Llano	Buchanan Dam	Highland Lakes UMC	Hill Country	Buchanan Dam: Highland Lakes	760918	active	1.00
North	Llano	Valley Spring	Valley Spring UMC	Hill Country	Valley Spring	761115	active	1.00
North	Hays	Buda	Buda UMC	Hill Country	Buda	758425	active	1.00
North	Hays	Kyle	Kyle UMC	Hill Country	Kyle First	758722	active	0.50
North	Hays	Kyle	The Journey UMC	Hill Country	The Journey	758458	active	hand
North	Hays	San Marcos	El Buen Pastor UMC	Hill Country	San Marcos: El Buen Pastor	755763	active	1.00
North	Hays	San Marcos	First UMC	Hill Country	San Marcos: First	759008	active	1.00
North	Hays	San Marcos	Jackson Chapel UMC	Hill Country	San Marcos Jackson	985184	active	0.75
North	Hays	Wimberley	Wimberley UMC	Hill Country	Wimberley	758620	active	1.00
North	Gillespie	Fredericksburg	Fredericksburg UMC	Hill Country	Fredericksburg	760805	active	1.00
North	Gillespie	Harper	Harper UMC	Hill Country	Harper	760840	active	0.50
North	Bastrop	Bastrop	Bastrop UMC	Crossroads	Bastrop	758403	active	1.00
North	Bastrop	Cedar Creek	Cedar Creek UMC	Crossroads	Cedar Creek	759098	active	1.00
North	Bastrop	Elgin	Elgin UMC	Crossroads	Elgin	758527	active	1.00
North	Bastrop	Smithville	First UMC	Crossroads	Smithville	759087	active	0.50
North	Caldwell	Fentress	Fentress UMC	Crossroads	Fentress	758540	active	1.00
North	Caldwell	Lockhart	St. Mark UMC	Crossroads	Lockhart: St. Mark's	985140	active	hand
North	Caldwell	Dale	Corinth UMC	Crossroads	Dale: Corinth	985071	active	1.00
North	Caldwell	Luling	First UMC	Crossroads	Luling: First	758788	active	1.00
North	Caldwell	Luling	William Taylor UMC	Crossroads	Luling William Taylor	985151	active	1.00
North	Caldwell	Prairie Lea	Prairie Lea UMC	Crossroads	Prairie Lea	758983	disaffiliated	0.67
North	Fayette	LaGrange	St. James UMC	Crossroads	La Grange Saint James	985138	active	1.00
